Business Name,Street Address,City,Province,Postal Code,Phone,Website,Industry,Data Source,Confidence,Employee Range,Employee Count Source,Employee Confidence,Revenue Range,Revenue Source,Revenue Confidence,Years in Business,Founded Year,Age Source,Age Confidence
Brothers Grimm Bistro,193 King St E,Hamilton,ON,UNKNOWN,(905) 393-1284,https://brothersgrimmbistro.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Shakespeare's Steak and Seafood,181 Main St E Bsmt,Hamilton,ON,UNKNOWN,(905) 528-0689,http://www.shakespeares.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Downtown Hamilton BIA,20 Hughson St S #104,Hamilton,ON,UNKNOWN,(905) 523-1646,http://www.downtownhamilton.org/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,4,2021,website_scrape,80%
Rapscallion and Co.,178 James St N,Hamilton,ON,UNKNOWN,(905) 522-0088,http://rapandco.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Jane's place Hamilton,302 James St N,Hamilton,ON,UNKNOWN,(905) 525-7777,UNKNOWN - needs research,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Plank Restobar Augusta,18 Augusta St,Hamilton,ON,UNKNOWN,(289) 799-1002,http://www.plankrestobar.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
PinToh by Chef Keng,21 John St N,Hamilton,ON,UNKNOWN,(905) 526-8373,https://pintoh.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
The Ship,23 Augusta St,Hamilton,ON,UNKNOWN,(905) 526-0792,http://www.theship.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,16,2009,website_scrape,80%
Andthenyou,145 Main St E,Hamilton,ON,UNKNOWN,UNKNOWN - check website,http://andthenyou.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
The Hamilton Club,6 Main St E,Hamilton,ON,UNKNOWN,(905) 522-4675,https://www.thehamiltonclub.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Wholesale Club Hamilton,2255 Barton St E,Hamilton,ON,UNKNOWN,(905) 561-4502,https://www.wholesaleclub.ca/store-locator/details/0202?utm_source=G&utm_medium=LPM&utm_campaign=Loblaws,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Murray Wholesale,351 Nash Rd N,Hamilton,ON,UNKNOWN,(905) 578-7070,http://www.murraywholesale.shop/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
LUCX WHOLESALE,307 Nash Rd N,Hamilton,ON,UNKNOWN,(289) 639-0003,http://www.lucxwholesale.com/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Best Wholesale,200 Centennial Pkwy N,Hamilton,ON,UNKNOWN,(905) 351-8511,https://bestwholesale.ca/pages/contact-us-1,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Fiddes Wholesale Produce Co,60 Ewen Rd,Hamilton,ON,UNKNOWN,(905) 570-7900,https://www.facebook.com/Fiddes-Wholesale-Produce-FWP-263828676991956/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Reilly's 2000 Wholesale Food,420 Parkdale Ave N,Hamilton,ON,UNKNOWN,(905) 575-1332,UNKNOWN - needs research,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Agro Wholesale Produce Ltd,1032 Howard Rd,Burlington,ON,UNKNOWN,(905) 632-8891,UNKNOWN - needs research,wholesale,Google Places API (New) - REAL,90%,10-40,industry_estimate,35%,$2.0M-$16.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Traynor's Bakery Wholesale Ltd.,191 Victoria Ave S,Hamilton,ON,UNKNOWN,(905) 522-2730,http://www.traynors.ca,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,77,1948,website_scrape,80%
Mercury Foodservice Ltd,Hamilton Canadian National Railway Station,360 James St N,ON,UNKNOWN,(905) 546-5554,http://mwfoods.ca/featured-products/,wholesale,Google Places API (New) - REAL,90%,10-40,industry_estimate,35%,$2.0M-$16.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Tk wholesale,200 Centennial Pkwy N,Hamilton,ON,UNKNOWN,(905) 351-8511,https://tkwholesale.ca/pages/contact-us-1,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Shree Krishna/ Tasty Grain Rice,88 Stroud Rd,Hamilton,ON,UNKNOWN,(289) 970-1000,UNKNOWN - needs research,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Buka Kits,21 King St W,Hamilton,ON,UNKNOWN,(289) 887-2329,UNKNOWN - needs research,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
LMB Wholesale,1,420 Parkdale Ave N #2,ON,UNKNOWN,(905) 543-1930,https://lmbwholesale.com/,general_business,Google Places API (New) - REAL,90%,10-40,industry_estimate,30%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Az Liquidators Ltd.,200 Arvin Ave.,Hamilton,ON,UNKNOWN,(416) 452-4862,http://azdistributor.ca/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Rukh's Global Trading Hub,18 Mohawk Rd E,Hamilton,ON,UNKNOWN,(289) 968-5786,UNKNOWN - needs research,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Dollar Central Liquidation,490 James St N,Hamilton,ON,UNKNOWN,(289) 933-8880,UNKNOWN - needs research,professional_services,Google Places API (New) - REAL,90%,5-20,industry_estimate,40%,$500K-$4.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
sweet & simple co.,942 Main St E,Hamilton,ON,UNKNOWN,(905) 520-5581,http://sweetandsimpleco.com/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Bulk Barn,659 Upper James St,Hamilton,ON,UNKNOWN,(905) 383-4588,http://www.bulkbarn.ca/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
G. S. Dunn Ltd.,80 Park St N,Hamilton,ON,UNKNOWN,(905) 522-0833,http://gsdunn.com/,wholesale,Google Places API (New) - REAL,90%,11-50,website_scrape,75%,$2.2M-$20.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Canway Distribution,319 Nash Rd N,Hamilton,ON,UNKNOWN,(905) 573-7286,http://canwaydistribution.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,5,2020,website_scrape,80%
