Business Name,Street Address,City,Province,Postal Code,Phone,Website,Industry,Owner/Contact Name,Owner Confidence,Owner Source,Estimated Revenue (CAD),Estimated Revenue Range,Estimated Employees (Range),SDE Estimate,Confidence Score,Data Source,Place Types,Review Count,Rating,Warnings,Priority
Rice Tool & Manufacturing Inc,2247 Harold Road,Burlington,ON,L7P 2K3,(905) 335-0181,http://www.ricetool.com/,manufacturing,Neil Teague,high,Business directories (President),"$2,197,250",$1.4M-$3.0M,12-35,"$329,587",85%,Google Places API - Phase 2 - metal fabrication Burlington ON,"point_of_interest,establishment",0,0.0,UPPER_RANGE: Revenue $2.2M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
EarthFresh,1095 Clay Avenue,Burlington,ON,L7L 0A1,(416) 251-2271,http://www.earthfreshfoods.com/,wholesale,Tom Hughes,high,ZoomInfo + LinkedIn (CEO),"$2,103,062",$1.6M-$2.6M,10-25,"$315,459",85%,Google Places API - Phase 2 - wholesale distributor Burlington ON,"wholesaler,point_of_interest,food,establishment",72,3.6,HIGH_VISIBILITY: 20+ reviews suggests larger operation or chain. Verify this is single-location SMB. | UPPER_RANGE: Revenue $2.1M near $1.5M cap. Confirm size fits acquisition thesis. | VERIFY_SIZE: High employee count + high reviews may indicate Google Places showing location headcount only. Cross-check company-wide size.,MEDIUM
FARM FRESH MEATS,1140 Heritage Road,Burlington,ON,L7L 4X9,(866) 460-2345,http://farmfreshmeats.com/,wholesale,Not found,none,Owner not found - manual research required,"$2,103,062",$1.6M-$2.6M,10-25,"$315,459",85%,Google Places API - Phase 2 - food wholesale Burlington ON,"wholesaler,food,point_of_interest,establishment",67,4.1,HIGH_VISIBILITY: 20+ reviews suggests larger operation or chain. Verify this is single-location SMB. | UPPER_RANGE: Revenue $2.1M near $1.5M cap. Confirm size fits acquisition thesis. | VERIFY_SIZE: High employee count + high reviews may indicate Google Places showing location headcount only. Cross-check company-wide size.,MEDIUM
Marcor Automotive,3325 North Service Road,Burlington,ON,L7N 3G2,(800) 263-8621,http://www.marcor.ca/,wholesale,Tony Page,medium,News articles (CEO),"$2,048,200",$1.5M-$2.6M,10-25,"$307,230",85%,Google Places API - Phase 2 - wholesale distributor Burlington ON,"wholesaler,point_of_interest,establishment",25,3.8,HIGH_VISIBILITY: 20+ reviews suggests larger operation or chain. Verify this is single-location SMB. | UPPER_RANGE: Revenue $2.0M near $1.5M cap. Confirm size fits acquisition thesis. | VERIFY_SIZE: High employee count + high reviews may indicate Google Places showing location headcount only. Cross-check company-wide size.,MEDIUM
Marks Supply Inc. (Burlington),3424 Landmark Road,Burlington,ON,L7M 1S8,(800) 387-7125,https://www.markssupply.ca/Burlington?utm_source=gbp&utm_medium=organic&utm_campaign=burlington,wholesale,Robin Todd,high,Company information (CEO/President),"$1,975,050",$1.4M-$2.6M,10-25,"$296,257",85%,Google Places API - Phase 2 - wholesale distributor Burlington ON,"wholesaler,point_of_interest,establishment",19,4.2,UPPER_RANGE: Revenue $2.0M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
Nature's Artifacts,5044 South Service Road,Burlington,ON,L7L 5Y7,(888) 895-3017,https://www.natures-artifacts.com/,wholesale,Not found,none,Owner not found - manual research required,"$1,975,050",$1.4M-$2.6M,10-25,"$296,257",85%,Google Places API - Phase 2 - wholesale distributor Burlington ON,"wholesaler,storage,point_of_interest,establishment",10,3.1,UPPER_RANGE: Revenue $2.0M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
Roseland Produce,1827 Ironstone Drive,Burlington,ON,L7L 5T8,(905) 332-4400,http://www.roselandproduce.ca/,wholesale,Not found,none,Owner not found - manual research required,"$1,901,900",$1.3M-$2.5M,10-25,"$285,285",85%,Google Places API - Phase 2 - wholesale distributor Burlington ON,"wholesaler,point_of_interest,food,establishment",8,4.9,UPPER_RANGE: Revenue $1.9M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
Esslinger Foods,5035 North Service Road,Burlington,ON,L7L 5V2,(800) 661-7687,https://esslingerfoods.com/,wholesale,William Esslinger,high,"LinkedIn (President, Family-owned)","$1,901,900",$1.3M-$2.5M,10-25,"$285,285",85%,Google Places API - Phase 2 - food wholesale Burlington ON,"wholesaler,food,point_of_interest,establishment",6,4.2,UPPER_RANGE: Revenue $1.9M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
Wesupply,3485 Harvester Road,Burlington,ON,L7N 3T3,(647) 477-2296,http://wesupply.ca/,wholesale,Not found,none,Owner not found - manual research required,"$1,865,325",$1.2M-$2.5M,10-25,"$279,798",85%,Google Places API - Phase 2 - wholesale distributor Burlington ON,"wholesaler,point_of_interest,establishment",2,3.0,UPPER_RANGE: Revenue $1.9M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
AMSaxum Inc.,4145 North Service Road,Burlington,ON,L7L 6A3,(888) 772-2809,http://amsaxum.com/,professional_services,Not found,none,Owner not found - manual research required,"$1,848,000",$1.3M-$2.3M,8-22,"$277,200",82%,Google Places API - Phase 2 - business consulting Burlington ON,"consultant,point_of_interest,establishment",24,5.0,HIGH_VISIBILITY: 20+ reviews suggests larger operation or chain. Verify this is single-location SMB. | UPPER_RANGE: Revenue $1.8M near $1.5M cap. Confirm size fits acquisition thesis. | VERIFY_SIZE: High employee count + high reviews may indicate Google Places showing location headcount only. Cross-check company-wide size.,MEDIUM
Pink Leaf Wholesale,1550 Yorkton Court,Burlington,ON,L7P 5B7,(289) 208-4927,https://www.pinkleafwholesale.com/,wholesale,Not found,none,Owner not found - manual research required,"$1,828,750",$1.2M-$2.5M,10-25,"$274,312",80%,Google Places API - Phase 2 - wholesale distributor Burlington ON,"wholesaler,point_of_interest,establishment",0,0.0,UPPER_RANGE: Revenue $1.8M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
Peanut Embassy,1163 King Road,Burlington,ON,L7T 0B4,(905) 308-4984,http://www.peanutembassy.com/,wholesale,Not found,none,Owner not found - manual research required,"$1,828,750",$1.2M-$2.5M,10-25,"$274,312",80%,Google Places API - Phase 2 - wholesale distributor Burlington ON,"wholesaler,point_of_interest,food,establishment",0,0.0,UPPER_RANGE: Revenue $1.8M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
Think Ingredients Inc.,3325 Harvester Road,Burlington,ON,L7N 3N2,(416) 616-1940,http://thinkingredients.com/,wholesale,Andy Sinkovits,high,Company website (President),"$1,828,750",$1.2M-$2.5M,10-25,"$274,312",80%,Google Places API - Phase 2 - wholesale distributor Burlington ON,"wholesaler,point_of_interest,food,establishment",1,5.0,UPPER_RANGE: Revenue $1.8M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
MISSION PRODUCE INC,1060 Howard Road,Burlington,ON,L7P 0T7,(905) 637-8581,,wholesale,Not found,none,Owner not found - manual research required,"$1,795,500",$1.2M-$2.4M,10-25,"$269,325",80%,Google Places API - Phase 2 - wholesale distributor Burlington ON,"wholesaler,point_of_interest,food,establishment",12,4.3,UPPER_RANGE: Revenue $1.8M near $1.5M cap. Confirm size fits acquisition thesis. | NO_WEBSITE: Limited online presence makes due diligence harder. Prioritize leads with websites.,MEDIUM
Homestead Foods,4445 Harvester Road,Burlington,ON,L7L 4X1,(905) 681-8755,,wholesale,Not found,none,Owner not found - manual research required,"$1,795,500",$1.2M-$2.4M,10-25,"$269,325",80%,Google Places API - Phase 2 - wholesale distributor Burlington ON,"wholesaler,point_of_interest,food,establishment",16,4.9,UPPER_RANGE: Revenue $1.8M near $1.5M cap. Confirm size fits acquisition thesis. | NO_WEBSITE: Limited online presence makes due diligence harder. Prioritize leads with websites.,MEDIUM
Burlington Metal Supplies Ltd,1254 Plains Road East,Burlington,ON,L7S 1W6,(905) 632-1583,,wholesale,Not found,none,Owner not found - manual research required,"$1,729,000",$1.1M-$2.4M,10-25,"$259,350",78%,Google Places API - Phase 2 - food wholesale Burlington ON,"wholesaler,point_of_interest,establishment",6,5.0,UPPER_RANGE: Revenue $1.7M near $1.5M cap. Confirm size fits acquisition thesis. | NO_WEBSITE: Limited online presence makes due diligence harder. Prioritize leads with websites.,MEDIUM
Panāyā Consulting,1411 Tobyn Drive,Burlington,ON,L7M 4V7,(778) 953-1443,http://www.panayaconsulting.com/,professional_services,Not found,none,Owner not found - manual research required,"$1,716,000",$1.2M-$2.3M,8-22,"$257,400",78%,Google Places API - Phase 2 - business consulting Burlington ON,"consultant,finance,point_of_interest,establishment",7,5.0,UPPER_RANGE: Revenue $1.7M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
Agro Wholesale Produce Ltd,1032 Howard Road,Burlington,ON,L7P 0T7,(905) 632-8891,,wholesale,Not found,none,Owner not found - manual research required,"$1,695,750",$1.1M-$2.3M,10-25,"$254,362",75%,Google Places API - Phase 2 - wholesale distributor Burlington ON,"wholesaler,point_of_interest,food,establishment",2,4.5,UPPER_RANGE: Revenue $1.7M near $1.5M cap. Confirm size fits acquisition thesis. | NO_WEBSITE: Limited online presence makes due diligence harder. Prioritize leads with websites.,MEDIUM
Business Growth Results,2289 Fairview Street,Burlington,ON,L7M3E4,(416) 456-8733,https://www.businessgrowthresults.com/,professional_services,Not found,none,Owner not found - manual research required,"$1,683,000",$1.1M-$2.2M,8-22,"$252,450",75%,Google Places API - Phase 2 - business consulting Burlington ON,"consultant,point_of_interest,establishment",3,5.0,UPPER_RANGE: Revenue $1.7M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
Golden Lasso,5063 North Service Road,Burlington,ON,L7L 5H6,(905) 631-5275,http://golden-lasso.com/,professional_services,Not found,none,Owner not found - manual research required,"$1,683,000",$1.1M-$2.2M,8-22,"$252,450",75%,Google Places API - Phase 2 - business consulting Burlington ON,"consultant,point_of_interest,establishment",3,5.0,UPPER_RANGE: Revenue $1.7M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
Horizons Wholesaler,5045 Mainway,Burlington,ON,L7L 5Z1,(727) 239-6366,,wholesale,Not found,none,Owner not found - manual research required,"$1,662,500",$998K-$2.3M,10-25,"$249,375",70%,Google Places API - Phase 2 - wholesale distributor Burlington ON,"point_of_interest,establishment",0,0.0,UPPER_RANGE: Revenue $1.7M near $1.5M cap. Confirm size fits acquisition thesis. | NO_WEBSITE: Limited online presence makes due diligence harder. Prioritize leads with websites.,MEDIUM
Toronto Consulting Services,5063 North Service Road,Burlington,ON,L7L 5H6,(647) 394-9172,http://www.torontoconsultingservices.com/,professional_services,Not found,none,Owner not found - manual research required,"$1,650,000",$1.1M-$2.2M,8-22,"$247,500",70%,Google Places API - Phase 2 - business consulting Burlington ON,"consultant,point_of_interest,establishment",1,5.0,UPPER_RANGE: Revenue $1.6M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
PlanPivot - Business Coaching,3228 South Service Road,Burlington,ON,L7M 3H8,(647) 732-9916,http://planpivot.ca/,professional_services,Not found,none,Owner not found - manual research required,"$1,650,000",$1.1M-$2.2M,8-22,"$247,500",70%,Google Places API - Phase 2 - business consulting Burlington ON,"consultant,point_of_interest,establishment",1,5.0,UPPER_RANGE: Revenue $1.6M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
LBM Consulting,1860 Appleby Line,Burlington,ON,L7L 7H7,,http://lbmconsulting.ca/,professional_services,Not found,none,Owner not found - manual research required,"$1,650,000",$1.1M-$2.2M,8-22,"$247,500",70%,Google Places API - Phase 2 - business consulting Burlington ON,"consultant,point_of_interest,establishment",1,5.0,UPPER_RANGE: Revenue $1.6M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
Froggo Business Services,1237 North Shore Boulevard East,Burlington,ON,L7S 2H8,(905) 399-7982,https://www.froggo.ca/,professional_services,Not found,none,Owner not found - manual research required,"$1,650,000",$1.1M-$2.2M,8-22,"$247,500",70%,Google Places API - Phase 2 - business consulting Burlington ON,"consultant,point_of_interest,establishment",1,5.0,UPPER_RANGE: Revenue $1.6M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
Battlefield Equipment Rentals,4401 Harvester Road,Burlington,ON,L7L 4X1,(905) 333-1440,https://www.battlefieldequipment.ca/,equipment_rental,Colin Goheen,high,Corporate website (President),"$1,600,224",$1.2M-$2.0M,7-16,"$240,033",85%,Google Places API - Phase 2 - local equipment rental Burlington ON,"point_of_interest,establishment",56,4.7,HIGH_VISIBILITY: 20+ reviews suggests larger operation or chain. Verify this is single-location SMB. | UPPER_RANGE: Revenue $1.6M near $1.5M cap. Confirm size fits acquisition thesis. | VERIFY_SIZE: High employee count + high reviews may indicate Google Places showing location headcount only. Cross-check company-wide size.,MEDIUM
GREAT NORTH EQUIPMENT RENTAL,3084 Harrison Court,Burlington,ON,L7R 3X4,(855) 466-7848,https://www.gnorth.ca/,equipment_rental,Not found,none,Owner not found - manual research required,"$1,558,480",$1.1M-$2.0M,7-16,"$233,772",85%,Google Places API - Phase 2 - local equipment rental Burlington ON,"point_of_interest,establishment",30,5.0,HIGH_VISIBILITY: 20+ reviews suggests larger operation or chain. Verify this is single-location SMB. | UPPER_RANGE: Revenue $1.6M near $1.5M cap. Confirm size fits acquisition thesis. | VERIFY_SIZE: High employee count + high reviews may indicate Google Places showing location headcount only. Cross-check company-wide size.,MEDIUM
Jobsite Industrial Rental Services,3385 Mainway,Burlington,ON,L7M 1A6,(905) 634-3030,https://www.jobsiteequipment.ca/,equipment_rental,Not found,none,Owner not found - manual research required,"$1,558,480",$1.1M-$2.0M,7-16,"$233,772",85%,Google Places API - Phase 2 - local equipment rental Burlington ON,"point_of_interest,establishment",22,4.7,HIGH_VISIBILITY: 20+ reviews suggests larger operation or chain. Verify this is single-location SMB. | UPPER_RANGE: Revenue $1.6M near $1.5M cap. Confirm size fits acquisition thesis. | VERIFY_SIZE: High employee count + high reviews may indicate Google Places showing location headcount only. Cross-check company-wide size.,MEDIUM
Park Property Management,1275 Elgin Street,Burlington,ON,L7S 1E2,,https://www.parkproperty.ca/apartments-for-rent/burlington,equipment_rental,Not found,none,Owner not found - manual research required,"$1,558,480",$1.1M-$2.0M,7-16,"$233,772",85%,Google Places API - Phase 2 - local equipment rental Burlington ON,"point_of_interest,establishment",42,4.8,HIGH_VISIBILITY: 20+ reviews suggests larger operation or chain. Verify this is single-location SMB. | UPPER_RANGE: Revenue $1.6M near $1.5M cap. Confirm size fits acquisition thesis. | VERIFY_SIZE: High employee count + high reviews may indicate Google Places showing location headcount only. Cross-check company-wide size.,MEDIUM
Cooper Equipment Rentals,5315 North Service Road,Burlington,ON,L7L 6C1,(905) 331-7111,http://cooperequipment.ca/,equipment_rental,Not found,none,Owner not found - manual research required,"$1,558,480",$1.1M-$2.0M,7-16,"$233,772",85%,Google Places API - Phase 2 - local equipment rental Burlington ON,"point_of_interest,establishment",30,4.7,HIGH_VISIBILITY: 20+ reviews suggests larger operation or chain. Verify this is single-location SMB. | UPPER_RANGE: Revenue $1.6M near $1.5M cap. Confirm size fits acquisition thesis. | VERIFY_SIZE: High employee count + high reviews may indicate Google Places showing location headcount only. Cross-check company-wide size.,MEDIUM
TranscendNext Quality Management Inc,4145 North Service Road,Burlington,ON,L7L 4X6,(888) 517-3335,,professional_services,Not found,none,Owner not found - manual research required,"$1,530,000",$949K-$2.1M,8-22,"$229,500",65%,Google Places API - Phase 2 - business consulting Burlington ON,"consultant,point_of_interest,establishment",3,5.0,UPPER_RANGE: Revenue $1.5M near $1.5M cap. Confirm size fits acquisition thesis. | NO_WEBSITE: Limited online presence makes due diligence harder. Prioritize leads with websites.,MEDIUM
Sunbelt Rentals,891 Zelco Drive,Burlington,ON,L7L 4Y3,(905) 634-5129,https://www.sunbeltrentals.com/location/ca/on/burlington/equipment-tool-rentals/7026/?utm_source=gmb&utm_medium=organic&utm_campaign=pc7026&y_source=1_MTc2MDU5MzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,equipment_rental,Not found,none,Owner not found - manual research required,"$1,447,160",$984K-$1.9M,7-16,"$217,074",85%,Google Places API - Phase 2 - local equipment rental Burlington ON,"point_of_interest,establishment",6,5.0,UPPER_RANGE: Revenue $1.4M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
Phoenix Equipment Corp.,3455 Landmark Road,Burlington,ON,L7M 1T4,,http://phoenixequip.ca/,equipment_rental,Not found,none,Owner not found - manual research required,"$1,391,500",$904K-$1.9M,7-16,"$208,725",80%,Google Places API - Phase 2 - local equipment rental Burlington ON,"point_of_interest,establishment",0,0.0,UPPER_RANGE: Revenue $1.4M near $1.5M cap. Confirm size fits acquisition thesis.,MEDIUM
PrintBuy,15 - 1253 Silvan Forest Drive,Burlington,ON,L7M 0B7,(647) 558-9538,http://www.printbuy.ca/,printing,Not found,none,Owner not found - manual research required,"$1,133,440",$827K-$1.4M,7-16,"$170,016",85%,Google Places API - Phase 2 - independent printing Burlington ON,"point_of_interest,establishment",34,5.0,HIGH_VISIBILITY: 20+ reviews suggests larger operation or chain. Verify this is single-location SMB. | VERIFY_SIZE: High employee count + high reviews may indicate Google Places showing location headcount only. Cross-check company-wide size.,MEDIUM
Oprintz,764 Guelph Line,Burlington,ON,L7R 3N5,(647) 995-9563,https://oprintz.com/,printing,Not found,none,Owner not found - manual research required,"$1,032,240",$692K-$1.4M,7-16,"$154,836",80%,Google Places API - Phase 2 - independent printing Burlington ON,"point_of_interest,establishment",3,5.0,,HIGH
